,Parameter,Date,Time,County,Station,Measurement,Unit
229,Ozone,2019-05-19,13:00,Kay,9010,0.032,Parts per million
230,Ozone,2019-05-19,14:00,Kay,9010,0.033,Parts per million
231,Ozone,2019-05-19,15:00,Kay,9010,0.034,Parts per million
232,Ozone,2019-05-19,16:00,Kay,9010,0.034,Parts per million
233,Ozone,2019-05-19,17:00,Kay,9010,0.033,Parts per million
234,Ozone,2019-05-19,18:00,Kay,9010,0.031,Parts per million
235,Ozone,2019-05-19,19:00,Kay,9010,0.025,Parts per million
236,Ozone,2019-05-19,20:00,Kay,9010,0.02,Parts per million
237,Ozone,2019-05-19,21:00,Kay,9010,,Parts per million
238,Ozone,2019-05-19,22:00,Kay,9010,,Parts per million
239,Ozone,2019-05-19,23:00,Kay,9010,0.019,Parts per million
240,Ozone,2019-05-20,00:00,Kay,9010,0.017,Parts per million
241,Ozone,2019-05-20,01:00,Kay,9010,0.02,Parts per million
242,Ozone,2019-05-20,02:00,Kay,9010,0.02,Parts per million
243,Ozone,2019-05-20,03:00,Kay,9010,0.021,Parts per million
244,Ozone,2019-05-20,04:00,Kay,9010,0.021,Parts per million
245,Ozone,2019-05-20,05:00,Kay,9010,0.02,Parts per million
246,Ozone,2019-05-20,06:00,Kay,9010,0.019,Parts per million
247,Ozone,2019-05-20,07:00,Kay,9010,0.019,Parts per million
248,Ozone,2019-05-20,08:00,Kay,9010,0.021,Parts per million
249,Ozone,2019-05-20,09:00,Kay,9010,0.022,Parts per million
250,Ozone,2019-05-20,10:00,Kay,9010,0.022,Parts per million
251,Ozone,2019-05-20,11:00,Kay,9010,0.023,Parts per million
252,Ozone,2019-05-20,12:00,Kay,9010,0.022,Parts per million
253,Ozone,2019-05-20,13:00,Kay,9010,0.023,Parts per million
254,Ozone,2019-05-20,14:00,Kay,9010,0.024,Parts per million
255,Ozone,2019-05-20,15:00,Kay,9010,0.025,Parts per million
256,Ozone,2019-05-20,16:00,Kay,9010,0.025,Parts per million
257,Ozone,2019-05-20,17:00,Kay,9010,0.027,Parts per million
258,Ozone,2019-05-20,18:00,Kay,9010,0.026,Parts per million
259,Ozone,2019-05-20,19:00,Kay,9010,0.026,Parts per million
260,Ozone,2019-05-20,20:00,Kay,9010,0.026,Parts per million
261,Ozone,2019-05-20,21:00,Kay,9010,,Parts per million
262,Ozone,2019-05-20,22:00,Kay,9010,,Parts per million
263,Ozone,2019-05-20,23:00,Kay,9010,0.022,Parts per million
264,Ozone,2019-05-21,00:00,Kay,9010,0.022,Parts per million
265,Ozone,2019-05-21,01:00,Kay,9010,0.023,Parts per million
266,Ozone,2019-05-21,02:00,Kay,9010,0.025,Parts per million
267,Ozone,2019-05-21,03:00,Kay,9010,0.028,Parts per million
268,Ozone,2019-05-21,04:00,Kay,9010,0.03,Parts per million
269,Ozone,2019-05-21,05:00,Kay,9010,0.029,Parts per million
270,Ozone,2019-05-21,06:00,Kay,9010,0.03,Parts per million
271,Ozone,2019-05-21,07:00,Kay,9010,0.034,Parts per million
272,Ozone,2019-05-21,08:00,Kay,9010,0.035,Parts per million
273,Ozone,2019-05-21,09:00,Kay,9010,0.035,Parts per million
274,Ozone,2019-05-21,10:00,Kay,9010,0.04,Parts per million
275,Ozone,2019-05-21,11:00,Kay,9010,0.044,Parts per million
276,Ozone,2019-05-21,12:00,Kay,9010,0.044,Parts per million
277,Ozone,2019-05-21,13:00,Kay,9010,0.044,Parts per million
278,Ozone,2019-05-21,14:00,Kay,9010,0.048,Parts per million
279,Ozone,2019-05-21,15:00,Kay,9010,0.049,Parts per million
280,Ozone,2019-05-21,16:00,Kay,9010,0.049,Parts per million
281,Ozone,2019-05-21,17:00,Kay,9010,0.049,Parts per million
282,Ozone,2019-05-21,18:00,Kay,9010,0.047,Parts per million
283,Ozone,2019-05-21,19:00,Kay,9010,0.044,Parts per million
284,Ozone,2019-05-21,20:00,Kay,9010,0.039,Parts per million
285,Ozone,2019-05-21,21:00,Kay,9010,,Parts per million
286,Ozone,2019-05-21,22:00,Kay,9010,,Parts per million
287,Ozone,2019-05-21,23:00,Kay,9010,0.029,Parts per million
288,Ozone,2019-05-22,00:00,Kay,9010,0.024,Parts per million
289,Ozone,2019-05-22,01:00,Kay,9010,0.022,Parts per million
290,Ozone,2019-05-22,02:00,Kay,9010,0.019,Parts per million
291,Ozone,2019-05-22,03:00,Kay,9010,0.018,Parts per million
292,Ozone,2019-05-22,04:00,Kay,9010,0.015,Parts per million
293,Ozone,2019-05-22,05:00,Kay,9010,0.013,Parts per million
294,Ozone,2019-05-22,06:00,Kay,9010,0.012,Parts per million
295,Ozone,2019-05-22,07:00,Kay,9010,0.018,Parts per million
296,Ozone,2019-05-22,08:00,Kay,9010,0.02,Parts per million
297,Ozone,2019-05-22,09:00,Kay,9010,0.023,Parts per million
298,Ozone,2019-05-22,10:00,Kay,9010,0.029,Parts per million
299,Ozone,2019-05-22,11:00,Kay,9010,0.035,Parts per million
300,Ozone,2019-05-22,12:00,Kay,9010,0.029,Parts per million
301,Ozone,2019-05-22,13:00,Kay,9010,0.028,Parts per million
302,Ozone,2019-05-22,14:00,Kay,9010,,Parts per million
303,Ozone,2019-05-22,15:00,Kay,9010,,Parts per million
304,Ozone,2019-05-22,16:00,Kay,9010,,Parts per million
305,Ozone,2019-05-22,17:00,Kay,9010,,Parts per million
306,Ozone,2019-05-22,18:00,Kay,9010,,Parts per million
307,Ozone,2019-05-22,19:00,Kay,9010,,Parts per million
308,Ozone,2019-05-22,20:00,Kay,9010,,Parts per million
309,Ozone,2019-05-22,21:00,Kay,9010,,Parts per million
