,Parameter,Date,Time,County,Station,Measurement,Unit
252,Carbon monoxide,1992-06-25,00:00,San Bernardino,9004,1.0,Parts per million
253,Carbon monoxide,1992-06-24,23:00,San Bernardino,9004,1.0,Parts per million
254,Carbon monoxide,1992-06-24,22:00,San Bernardino,9004,1.0,Parts per million
255,Carbon monoxide,1992-06-24,21:00,San Bernardino,9004,1.0,Parts per million
256,Carbon monoxide,1992-06-24,20:00,San Bernardino,9004,1.0,Parts per million
257,Carbon monoxide,1992-06-24,19:00,San Bernardino,9004,1.0,Parts per million
258,Carbon monoxide,1992-06-24,18:00,San Bernardino,9004,1.0,Parts per million
259,Carbon monoxide,1992-06-24,17:00,San Bernardino,9004,0.0,Parts per million
260,Carbon monoxide,1992-06-24,16:00,San Bernardino,9004,1.0,Parts per million
261,Carbon monoxide,1992-06-24,15:00,San Bernardino,9004,1.0,Parts per million
262,Carbon monoxide,1992-06-24,14:00,San Bernardino,9004,0.0,Parts per million
263,Carbon monoxide,1992-06-24,13:00,San Bernardino,9004,0.0,Parts per million
264,Carbon monoxide,1992-06-24,12:00,San Bernardino,9004,0.0,Parts per million
265,Carbon monoxide,1992-06-24,11:00,San Bernardino,9004,0.0,Parts per million
266,Carbon monoxide,1992-06-24,10:00,San Bernardino,9004,0.0,Parts per million
267,Carbon monoxide,1992-06-24,09:00,San Bernardino,9004,0.0,Parts per million
268,Carbon monoxide,1992-06-24,08:00,San Bernardino,9004,0.0,Parts per million
269,Carbon monoxide,1992-06-24,07:00,San Bernardino,9004,1.0,Parts per million
270,Carbon monoxide,1992-06-24,06:00,San Bernardino,9004,2.0,Parts per million
271,Carbon monoxide,1992-06-24,05:00,San Bernardino,9004,2.0,Parts per million
272,Carbon monoxide,1992-06-24,03:00,San Bernardino,9004,1.0,Parts per million
273,Carbon monoxide,1992-06-24,02:00,San Bernardino,9004,1.0,Parts per million
274,Carbon monoxide,1992-06-24,01:00,San Bernardino,9004,1.0,Parts per million
275,Carbon monoxide,1992-06-24,00:00,San Bernardino,9004,1.0,Parts per million
276,Carbon monoxide,1992-06-23,23:00,San Bernardino,9004,1.0,Parts per million
277,Carbon monoxide,1992-06-23,22:00,San Bernardino,9004,1.0,Parts per million
278,Carbon monoxide,1992-06-23,21:00,San Bernardino,9004,1.0,Parts per million
279,Carbon monoxide,1992-06-23,20:00,San Bernardino,9004,1.0,Parts per million
280,Carbon monoxide,1992-06-23,19:00,San Bernardino,9004,1.0,Parts per million
281,Carbon monoxide,1992-06-23,18:00,San Bernardino,9004,1.0,Parts per million
282,Carbon monoxide,1992-06-23,17:00,San Bernardino,9004,0.0,Parts per million
283,Carbon monoxide,1992-06-23,16:00,San Bernardino,9004,1.0,Parts per million
284,Carbon monoxide,1992-06-23,15:00,San Bernardino,9004,1.0,Parts per million
285,Carbon monoxide,1992-06-23,14:00,San Bernardino,9004,1.0,Parts per million
286,Carbon monoxide,1992-06-23,13:00,San Bernardino,9004,0.0,Parts per million
287,Carbon monoxide,1992-06-23,12:00,San Bernardino,9004,0.0,Parts per million
288,Carbon monoxide,1992-06-23,11:00,San Bernardino,9004,0.0,Parts per million
289,Carbon monoxide,1992-06-23,10:00,San Bernardino,9004,1.0,Parts per million
290,Carbon monoxide,1992-06-23,09:00,San Bernardino,9004,1.0,Parts per million
291,Carbon monoxide,1992-06-23,08:00,San Bernardino,9004,1.0,Parts per million
292,Carbon monoxide,1992-06-23,07:00,San Bernardino,9004,1.0,Parts per million
293,Carbon monoxide,1992-06-23,06:00,San Bernardino,9004,2.0,Parts per million
294,Carbon monoxide,1992-06-23,05:00,San Bernardino,9004,1.0,Parts per million
295,Carbon monoxide,1992-06-23,03:00,San Bernardino,9004,1.0,Parts per million
296,Carbon monoxide,1992-06-23,02:00,San Bernardino,9004,1.0,Parts per million
297,Carbon monoxide,1992-06-23,01:00,San Bernardino,9004,1.0,Parts per million
298,Carbon monoxide,1992-06-23,00:00,San Bernardino,9004,2.0,Parts per million
299,Carbon monoxide,1992-06-22,23:00,San Bernardino,9004,2.0,Parts per million
300,Carbon monoxide,1992-06-22,22:00,San Bernardino,9004,1.0,Parts per million
301,Carbon monoxide,1992-06-22,21:00,San Bernardino,9004,1.0,Parts per million
302,Carbon monoxide,1992-06-22,20:00,San Bernardino,9004,1.0,Parts per million
303,Carbon monoxide,1992-06-22,19:00,San Bernardino,9004,1.0,Parts per million
304,Carbon monoxide,1992-06-22,18:00,San Bernardino,9004,1.0,Parts per million
305,Carbon monoxide,1992-06-22,17:00,San Bernardino,9004,1.0,Parts per million
306,Carbon monoxide,1992-06-22,16:00,San Bernardino,9004,1.0,Parts per million
307,Carbon monoxide,1992-06-22,15:00,San Bernardino,9004,1.0,Parts per million
308,Carbon monoxide,1992-06-22,14:00,San Bernardino,9004,1.0,Parts per million
309,Carbon monoxide,1992-06-22,13:00,San Bernardino,9004,0.0,Parts per million
310,Carbon monoxide,1992-06-22,12:00,San Bernardino,9004,0.0,Parts per million
311,Carbon monoxide,1992-06-22,11:00,San Bernardino,9004,1.0,Parts per million
312,Carbon monoxide,1992-06-22,10:00,San Bernardino,9004,0.0,Parts per million
313,Carbon monoxide,1992-06-22,09:00,San Bernardino,9004,1.0,Parts per million
314,Carbon monoxide,1992-06-22,08:00,San Bernardino,9004,1.0,Parts per million
315,Carbon monoxide,1992-06-22,07:00,San Bernardino,9004,1.0,Parts per million
316,Carbon monoxide,1992-06-22,06:00,San Bernardino,9004,2.0,Parts per million
317,Carbon monoxide,1992-06-22,05:00,San Bernardino,9004,1.0,Parts per million
318,Carbon monoxide,1992-06-22,03:00,San Bernardino,9004,1.0,Parts per million
319,Carbon monoxide,1992-06-22,02:00,San Bernardino,9004,1.0,Parts per million
320,Carbon monoxide,1992-06-22,01:00,San Bernardino,9004,1.0,Parts per million
321,Carbon monoxide,1992-06-22,00:00,San Bernardino,9004,1.0,Parts per million
322,Carbon monoxide,1992-06-21,23:00,San Bernardino,9004,1.0,Parts per million
323,Carbon monoxide,1992-06-21,22:00,San Bernardino,9004,1.0,Parts per million
324,Carbon monoxide,1992-06-21,21:00,San Bernardino,9004,1.0,Parts per million
325,Carbon monoxide,1992-06-21,20:00,San Bernardino,9004,1.0,Parts per million
326,Carbon monoxide,1992-06-21,19:00,San Bernardino,9004,1.0,Parts per million
327,Carbon monoxide,1992-06-21,18:00,San Bernardino,9004,1.0,Parts per million
328,Carbon monoxide,1992-06-21,17:00,San Bernardino,9004,1.0,Parts per million
329,Carbon monoxide,1992-06-21,16:00,San Bernardino,9004,1.0,Parts per million
